epoch,train_loss,train_acc,val_acc,lr,global_step
1,0.167154,94.52,97.24,0.0001000000,90117
2,0.104864,97.09,97.70,0.0001000000,90117
3,0.098144,97.38,94.62,0.0001000000,90117
4,0.091449,97.52,97.70,0.0001000000,90117
5,0.085805,97.42,98.25,0.0001000000,90117
6,0.076693,97.78,98.02,0.0001000000,90117
7,0.070244,97.88,98.16,0.0001000000,90117
8,0.064920,97.97,98.16,0.0001000000,90117
9,0.059337,98.06,98.11,0.0001000000,90117
10,0.059139,98.19,98.34,0.0001000000,90117
11,0.054108,98.33,98.11,0.0001000000,90117
12,0.050499,98.45,98.39,0.0001000000,90117
13,0.050244,98.49,98.25,0.0001000000,90117
14,0.046223,98.61,98.30,0.0001000000,90117
15,0.049402,98.53,98.21,0.0001000000,90117
16,0.043411,98.67,97.93,0.0001000000,90117
17,0.044456,98.67,98.34,0.0001000000,90117
18,0.042511,98.78,98.25,0.0001000000,90117
19,0.040977,98.72,98.30,0.0001000000,90117
20,0.038344,98.84,97.98,0.0001000000,90117
21,0.036643,98.98,98.30,0.0001000000,90117
22,0.036977,98.81,98.44,0.0001000000,90117
23,0.034789,98.99,98.48,0.0001000000,90117
24,0.034373,98.97,98.48,0.0001000000,90117
25,0.035098,99.00,98.34,0.0001000000,90117
26,0.031392,99.03,98.25,0.0001000000,90117
27,0.031617,98.99,98.25,0.0001000000,90117
28,0.029611,99.13,98.34,0.0001000000,90117
29,0.030619,99.01,98.34,0.0001000000,90117
30,0.027479,99.15,98.25,0.0001000000,90117
31,0.026429,99.23,97.93,0.0001000000,90117
32,0.026198,99.12,97.79,0.0001000000,90117
33,0.026542,99.13,98.53,0.0001000000,90117
34,0.025431,99.18,98.21,0.0001000000,90117
35,0.024110,99.34,98.11,0.0001000000,90117
36,0.021205,99.38,98.34,0.0001000000,90117
37,0.021793,99.28,98.30,0.0001000000,90117
38,0.019402,99.40,98.39,0.0001000000,90117
39,0.024131,99.27,98.25,0.0001000000,90117
40,0.018716,99.42,98.16,0.0001000000,90117
41,0.018415,99.52,98.16,0.0001000000,90117
42,0.020948,99.37,98.07,0.0001000000,90117
43,0.020032,99.41,98.21,0.0001000000,90117
